application,device_count
powerbat-packetair-2,13
maynilad-testing-bove,4
packetleak,2
imst-smart-metering-kit,1
eastron-pm-lora,2
packetmotion,3
manila-water-large-meters,11
test-outdoor-temphum-newpro,11
coby-sandbox,1
cbre-temp-probe,60
cbre-temphum,34
rcbe-temphum,0
thingsph-airquality,2
clix-peoplecounter,4
420,1
packetsense420,1
water-pressure-gxps900,6
switch-unionbank,1
standalone-temphum,43
pro-legacy-temphum,4
gawad-kalinga-temphum,3
em537-modbus-y-iceplant,1
alfamart-temp-hum,10
alfamart-current-clamp,10
water-pressure-2022,5
indoor-temp-hum-deliverable,3
door-sensors-2022,0
solar-gateway-temprobe,1
ulpi-moisture-sensor,7
gueco-reed-switch,1
cbre-modbus,60
winford-temphum,5
test-platformio-port,3
temphum-demo,2
source-temphum,1
source-peoplecounter,1
source-opticalpulse,1
source-motionsensor,0
source-feedbackbutton,1
source-doorsensor,1
source-currentclamp,1
sample-proximity,3
radius-temphum,1
radius-peoplecounter,1
radius-opticalpulse,1
radius-motionsensor,1
radius-feedbackgenerator,1
radius-doorsensor,0
radius-currentclamp,1
pulse-counter,7
pldt-temphum,1
pldt-peoplecounter,0
pldt-motionsensor,0
pldt-opticalpulse,1
pldt-feedbackbutton,0
pldt-doorsensor,1
pldt-currentclamp,1
packetusb,15
packetgassensor,3
packet-door-test,5
motolite-optical-pulse,2
metametrics-lab-temphum,1
metametrics-lab-temp-probe,2
maynilad-pulsereader,4
lora-tracker-test,1
gueco-outdoor-temphum,1
gawad-kalinga-proximity,2
firmware-training,30
eastern-temphum,1
drip,6
door-sensor-demo,1
dev-all-devices,32
currentclamp-reserve,3
bia-residence-outdoor-temphum,3
alfamart-temp-probe,12
711-tempprobe,4
711-temp-sensor,4
711-doorsensor,2
711-currentclamp,0
4m-proximity-test-app,8
magnifi-temp-probe,2
magnifi-proximity-10m,3
magnifi-peoplecounter-matrix,1
magnifi-peoplecounter-dual,1
magnifi-people-counter,1
magnifi-current-clamp,2
things-ph-thsensor,0
things-doorsensor,4
uplb-devices,6
upd-devices,3
cortex-devices,2
lucidtron,2
ptcii-devices,5
appgeese-devices,1
test-clix-ac,1
lxz-smart-water-meter,2
clix-tempprobe,5
clix-proximity4m,8
clix-motionsensor,0
clix-modbus,1
clix-doorsensor,7
sandbox-rupert,0
clix-packetswitch,11
packetworx-opticalpulse,125
powerbat-opticalpulse-deltadore,1
powerbat-modbus-rtu,5
powerbat-deltadore-temphum2,10
powerbat-temp-hum,1
powerbat-temphum,9
demo-onboarding-temphum,1
test-soil,1
test-modbus,1
indoor-ambience-milesight,0
ulpi-outdoor-temphum,78
ulpi-temp-probe,766
test-app-pulse,1
sagesoft-devices,0
pulse-test-devices,27
pwx-temp-probe,11
packet-sublevel,3
pi-energy-modbus,35
clix-packetair,11
wli-000000000007793,0
packetthings-devices,3
genworxapp-devices,0
packetswitch-setup,1
paygo-node,2
dry-contact-testing,1
licht-testing,2
stm32wl-end-node-demo-5,1
ncs-peoplecounter,5
air-v2-prototype,15
stm32wltesting,1
awin-flood-sensor,1
awin-packetair,1
varacco-rain-gauge,9
xmt-test,4
packetair,1
pwx-doorsensor,10
pwx-temphum,27
fast-cargo-temphum,45
adapsense-flood-sensor,1
adapsense-temphum,1
varacco-moisture-sensor,16
varacco-temphum,14
ellenex-pulse-sensor,1
first-application,1
test-app,0
cebuwater-rakbutton,0
xmt-packet-things,0
xmt-rak-button,0
evi-indoor-temphum,1
evi-proximity-4m,3
packetworx-test-devices,85
geos-proximity4m,20
pulse-reader-new,8
pi-temphum,12
pi-peoplecounter-matrix,2
pi-peoplecounter2,2
pi-peoplecounter1,6
temp-hum,2
tem-probe,5
firstgenec-packetair,5
firstgen-modbus,1
fg-outdoor-temphum,1
fg-modbus,2
dissolved-oxygen-sensor,1
cocosamarproximity10m,2
ncs-sensors,14
eastern-peoplecounter,1
eastern-doorsensor,1
eastern-motionsensor,9
eastern-currentclamp,1
eastern-opticalpulse,1
eastern-feedbackbutton,1
sample-temphum,3
water-pressure-sensor,5
trackerdev,1
thingsph-sensors,151
thingsph-packetswitch,1
things-pupojt,4
things-ph-temphum,19
test-nzzz-weather-station,1
temp-hum-citech,4
pylondev,4
pulse-reader-001,10
proximity-sensor-citech,4
poc-ups-current-sensor,1
planetcable-temphum,1
planetcable-reed-switch,1
planetcable-motion-sensor,1
planetcable-currentsensor,2
pi-opticalpulse,8
peoplecounter3,2
packetair-accenture,0
packet-tracker-acsip,6
optical-pulse,3
optical-pulse-reader,4
mandaluyong-flood-monitor,3
magnifi-temphum2,0
magnifi-air-quality,2
magnifi-weather-station,1
magnifi-temp-hum,3
magnifi-smart-totalizer,4
magnifi-pulse-counter,2
magnifi-flood-monitor,1
magnifi-flood-sensor,0
iot-tech-temp-probe,2
iot-tech-temp-hum,1
iot-tech-hub-temphum2,0
iot-tech-hub-temphum,11
gpstrial,24
fleet-tracker,1
feedback-generator,7
energymeter,4
eisus-enterprises-sensors,3
dev-packet-air,11
current-clamp-uas,2
current-clamp-citech,1
clix-water-leak,1
clix-temp-hum,427
clix-optical-pulse,1
clix-current-clamp,10
cavite-flood-monitor,3
air-quality-sensors,25
air-quality,17
adspark-poc,2
aava-proximity,4
water-meter-oy1310,1
ultrasonic-proximity-4m,2
temp-probe-prod,15
talkpool-oy1310,3
talkpool-oy1110-sensors,2
talkpool-oy1110royalcargo,3
talkpool-oy1100tempsensor,3
pwx-water-meter-demo,2
pro-temp-probe,6
oy1110-talkpool-temp-hum,2
manila-water-demo,4
lg-water-meter-demo-02,1
lg-water-meter-demo,2
lagunawater-pulsemagnetic,2
lagunawater-packetswitch,2
lagunawater-currentsensor,3
laguna-water-modbus,3
glacier-temp-probe,4
first-gen-water-meter,1
elsys-pulse,2
elsys-ersco2,2
ellenex-pressure-sensor,3
demo-water-meter,1
bove-water-meter,1
bove-vpw-ph837lg,1
bove-vpw-150,1
bove-ultrasonicwatermeter,1
bove-china-samples,567
beco-x-water-meter,3
axioma-water-meter,2
engie-waterleak-sensor,1
engie-temphum,6
engie-survey-button,1
engie-peoplecounter3,1
engie-peoplecounter2,1
engie-peoplecounter,1
engie-office-zigzag,1
engie-office-voc-t-h,1
engie-office-soap,1
engie-office-modbus,1
engie-office-co2-voc-t-h,1
engie-motion-sensor,1
engie-emergency-button,1
engie-door-sensor,2
engie-current-clamp,3
engie-3phase-meter,1
enge-office-jumbo,1
bpi-bb-thsensor,97
bpi-bb-powermeter,127
bpi-bb-peoplecounter,55
bpi-bb-currentclamp,50
temphum-poc,14
temperatureandhumidity,1
pro-indoor-temphum,17
powerbat-temphum2,14
powerbat-rs-temp-probe,1
powerbat-proximity6m,2
powerbat-proximity10m,2
powerbat-packetair,105
powerbat-outdoor-temphum,1
powerbat-opticalpulse,11
powerbat-currentclamp,1
current-clamp-poc-1,6
v3-migration-test,4
firstgen-opticalpulse,69
lr1110tracker-v3test1,1
kintanar-lora-001,1
temp-hum-johann-test,2
