key,key_id
Positive_Active_Energy_Total,322
Frequency_1,323
Active_Power_Total_1,324
Apparent_Power_Total_1,325
Reactive_Power_L1,326
Reactive_Power_L2,327
Reactive_Power_L3,328
Reactive_Power_Total_1,329
Power_Factor_Total_1,330
Positive_Active_Energy_L1,331
Positive_Active_Energy_L2,332
Positive_Active_Energy_L3,333
Negative_Active_Energy_Total,334
Instantaneous_Positive_Active_Energy_Total,335
x_axis,336
y_axis,337
z_axis,338
rainfall_intensity,339
radiation,340
people_counter_all,341
region_0,342
region_1,343
region_2,344
region_3,345
region_count,346
Counter4,347
exit,348
MaxPm10,349
MaxPm2_5,350
eq_co2,351
Exit,352
nc,353
sos,354
spo2,355
heartrate,356
steps,357
CumulativeFlow,358
DailyFlow,359
ReverseFlow,360
InstantaneousFlow,361
smoke,362
door,363
stat,364
waterlevel_offset,365
battsense_offset,366
water_level,367
soil_temp,368
soil_hum,369
soil_conductivity,370
soil_pHVal,371
soil_K,372
soil_P,373
soil_N,374
light_level,375
beacon_num,376
head,377
mac_list,378
scan_data_length,379
x_threshold,380
y_threshold,381
z_threshold,382
batt_percent,383
daily_volume,384
instantaneous_flow,385
count,386
details.count,387
asd,388
occupancy,389
amperage,390
power,391
voltage,392
frequency,393
water,394
targetTemperature,395
airFlow,396
enabled,397
lastActivityTime,398
weeklyConsumption,399
dailyConsumption,400
leakage,401
pulseCounter,402
RuleNodeState_558658d0-507f-11ed-b04b-61e292f04158,403
RuleNodeState_5586a6f0-507f-11ed-b04b-61e292f04158,404
meterReadingDelta,405
RuleNodeState_55854760-507f-11ed-b04b-61e292f04158,406
RuleNodeState_55859582-507f-11ed-b04b-61e292f04158,407
meterReading,408
temptest,409
fuel,410
speed,411
latitude,412
longitude,413
status,414
RuleNodeState_52e05950-5133-11ed-9c81-e5bf02e709c4,415
RuleNodeState_52e08060-5133-11ed-9c81-e5bf02e709c4,416
RuleNodeState_52df6ef0-5133-11ed-9c81-e5bf02e709c4,417
RuleNodeState_52dfbd10-5133-11ed-9c81-e5bf02e709c4,418
weight,419
level,420
batteryLevel,421
open,422
alarm,423
occupied,424
criticalAlarmsCount,425
majorAlarmsCount,426
RuleNodeState_46528300-5338-11ed-8e10-0b296c0423d1,427
RuleNodeState_8313cba0-5338-11ed-8e10-0b296c0423d1,428
RuleNodeState_8313a490-5338-11ed-8e10-0b296c0423d1,429
RuleNodeState_ee6987b0-533c-11ed-8e10-0b296c0423d1,430
Hourly_TPAE,431
Daily_TPAE,432
monthTPAE,433
fuelLevel,434
fuelVolume,435
Monthly_TPAE,436
port,437
Current_L7,438
Voltage_L1,439
Voltage_L2,440
Voltage_L3,441
Current_L1,442
Current_L2,443
Current_L3,444
Export_Active_Energy_L1,445
Import_Active_Energy_L1,446
Export_Reactive_Energy_L1,447
Import_Reactive_Energy_L1,448
Voltage_L4,449
Voltage_L5,450
Voltage_L6,451
Current_L4,452
Current_L5,453
Current_L6,454
Voltage_L7,455
press,456
Consumption,458
smoke_state,462
bleMAC,471
Voltage_L8,473
Current_L8,474
Import_Active_Energy_L3,479
Export_Active_Energy_L3,480
